|category_id|total_revenue |
|-----------|--------------|
|CAT012     |17,496,784,000|
|CAT009     |16,820,388,500|
|CAT006     |14,797,461,500|
|CAT011     |13,630,863,000|
|CAT014     |13,388,659,500|
|CAT013     |13,116,447,500|
|CAT018     |12,996,225,500|
|CAT007     |12,533,701,000|
|CAT016     |12,522,223,000|
|CAT015     |12,374,351,500|
|CAT008     |11,187,432,000|
|CAT010     |10,875,260,000|
|CAT017     |10,279,699,000|
|CAT019     |9,586,957,000 |
|CAT020     |9,275,851,500 |
